권역,수도권본부,강원본부,대전충남본부,전북본부,광주전남본부,대구경북본부,부산경남본부,충북본부,전국
입출구,출구,출구,출구,출구,출구,출구,출구,출구,출구
2021.11.11,1508110 ,222270 ,332460 ,120902 ,243893 ,387890 ,718270 ,173588 ,3707383 
2021.11.10,1473722 ,210857 ,315251 ,111566 ,232492 ,378619 ,706388 ,163260 ,3592155 
2021.11.09,1398907 ,199321 ,313413 ,113001 ,239203 ,381787 ,702444 ,157944 ,3506020 
2021.11.08,1387424 ,199028 ,315090 ,113051 ,229813 ,355454 ,659184 ,157910 ,3416954 
2021.11.07,1293487 ,231490 ,362217 ,158073 ,307716 ,404447 ,700234 ,198755 ,3656419 
2021.11.06,1466266 ,273842 ,382287 ,196579 ,344809 ,460469 ,798969 ,222798 ,4146019 
2021.11.05,1582585 ,272295 ,381174 ,163217 ,305236 ,438895 ,800322 ,217400 ,4161124 
2021.11.04,1510453 ,228608 ,336763 ,130991 ,261527 ,391852 ,723259 ,179342 ,3762795 
2021.11.03,1496654 ,222202 ,331975 ,126015 ,254545 ,386286 ,712517 ,176895 ,3707089 
2021.11.02,1490397 ,220893 ,330927 ,125837 ,248473 ,384944 ,703889 ,173437 ,3678797 
2021.11.01,1489533 ,227202 ,340425 ,129303 ,254966 ,386671 ,707893 ,178815 ,3714808 
2021.10.31,1275984 ,240082 ,351486 ,148767 ,301414 ,401192 ,697578 ,195613 ,3612116 
2021.10.30,1450620 ,278194 ,368073 ,178786 ,326079 ,443252 ,779780 ,216285 ,4041069 
2021.10.29,1567157 ,277581 ,372069 ,154305 ,296905 ,431567 ,787105 ,209526 ,4096215 
2021.10.28,1527402 ,237391 ,338418 ,130271 ,260081 ,392502 ,726114 ,179431 ,3791610 
2021.10.27,1513692 ,230640 ,336154 ,126194 ,255223 ,389632 ,718135 ,176775 ,3746445 
2021.10.26,1510903 ,232892 ,334013 ,125985 ,254903 ,389093 ,712800 ,176788 ,3737377 
2021.10.25,1509058 ,236944 ,346111 ,129471 ,259237 ,392748 ,718495 ,180411 ,3772475 
2021.10.24,1267724 ,243197 ,347857 ,140174 ,284338 ,389337 ,685052 ,185179 ,3542858 
2021.10.23,1434712 ,279665 ,369507 ,173713 ,321989 ,438204 ,776744 ,207574 ,4002108 
2021.10.22,1557934 ,273070 ,376151 ,152722 ,291563 ,429263 ,779571 ,206838 ,4067112 
2021.10.21,1504425 ,233306 ,341179 ,126265 ,258270 ,389887 ,702655 ,177444 ,3733431 
2021.10.20,1498593 ,229807 ,333656 ,123590 ,250393 ,385941 ,705124 ,174898 ,3702002 
2021.10.19,1475252 ,220091 ,324191 ,116491 ,243416 ,381254 ,706587 ,169194 ,3636476 
2021.10.18,1493969 ,230643 ,345512 ,127399 ,253200 ,386399 ,715627 ,178618 ,3731367 
2021.10.17,1203596 ,222741 ,317586 ,124762 ,253920 ,368394 ,647773 ,165718 ,3304490 
2021.10.16,1400801 ,259048 ,340907 ,150166 ,276557 ,390295 ,665912 ,190902 ,3674588 
2021.10.15,1569843 ,258915 ,369130 ,143757 ,284854 ,423668 ,784426 ,201583 ,4036176 
2021.10.14,1535113 ,236288 ,344838 ,128517 ,254288 ,396392 ,727678 ,178654 ,3801768 
2021.10.13,1505022 ,227215 ,332488 ,123661 ,248059 ,383885 ,702702 ,174672 ,3697704 
2021.10.12,1497806 ,225832 ,329878 ,117294 ,236269 ,361175 ,683314 ,172179 ,3623747 
